Linux 5.4.0-48-generic (slave1) 	08/10/2020 	_x86_64_	(2 CPU)

18:37:30     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:37:31     all    5,79    0,00    3,16    0,53    0,00    0,53    0,00    0,00    0,00   90,00
18:37:32     all   13,16    0,00    5,79    0,00    0,00    0,00    0,00    0,00    0,00   81,05
18:37:33     all    8,99    0,00    3,70    0,53    0,00    0,00    0,00    0,00    0,00   86,77
18:37:34     all   14,43    0,00    4,12    0,00    0,00    0,00    0,00    0,00    0,00   81,44
18:37:35     all    3,98    0,00    1,49    2,99    0,00    0,00    0,00    0,00    0,00   91,54
18:37:36     all    3,02    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   95,98
18:37:37     all    0,51    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,49
18:37:38     all    0,50    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,49
18:37:39     all    2,02    0,00    0,51    1,52    0,00    0,00    0,00    0,00    0,00   95,96
18:37:40     all    2,51    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   96,98
18:37:41     all    1,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,99
18:37:42     all    1,02    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   98,48
18:37:43     all    3,52    0,00    1,51    0,00    0,00    0,50    0,00    0,00    0,00   94,47
18:37:44     all    1,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,98
18:37:45     all    1,50    0,00    0,50    0,50    0,00    0,50    0,00    0,00    0,00   97,00
18:37:46     all    2,02    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   97,47
18:37:47     all    0,50    0,00    1,51    0,00    0,00    0,00    0,00    0,00    0,00   97,99
18:37:48     all    1,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,98
18:37:49     all    1,01    0,00    0,51    0,00    0,00    0,51    0,00    0,00    0,00   97,98
18:37:50     all    2,02    0,00    1,01    1,01    0,00    0,00    0,00    0,00    0,00   95,96
18:37:51     all    1,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,99
18:37:52     all    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,01
18:37:53     all    1,51    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   97,99
18:37:54     all    1,01    0,00    1,01    0,00    0,00    0,50    0,00    0,00    0,00   97,49
18:37:55     all    1,01    0,00    0,51    0,00    0,00    0,51    0,00    0,00    0,00   97,98
18:37:56     all    0,51    0,00    0,51    1,02    0,00    0,00    0,00    0,00    0,00   97,97
18:37:57     all    1,00    0,00    0,00    0,00    0,00    0,50    0,00    0,00    0,00   98,50
18:37:58     all    1,01    0,00    1,52    0,00    0,00    0,00    0,00    0,00    0,00   97,47
18:37:59     all    2,01    0,00    1,51    0,00    0,00    0,50    0,00    0,00    0,00   95,98
18:38:00     all    2,02    0,00    0,51    0,00    0,00    0,51    0,00    0,00    0,00   96,97
18:38:01     all    1,03    0,00    1,03    0,00    0,00    0,00    0,00    0,00    0,00   97,95
18:38:02     all    1,53    0,00    0,00    0,51    0,00    0,51    0,00    0,00    0,00   97,45
18:38:03     all    1,52    0,00    1,52    0,00    0,00    0,51    0,00    0,00    0,00   96,46
18:38:04     all    2,00    0,00    0,00    0,50    0,00    0,50    0,00    0,00    0,00   97,00
18:38:05     all    1,50    0,00    0,50    0,00    0,00    1,00    0,00    0,00    0,00   97,00
18:38:06     all    2,51    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,48
18:38:07     all    1,00    0,00    1,50    0,00    0,00    0,50    0,00    0,00    0,00   97,00
18:38:08     all    0,51    0,00    0,51    0,51    0,00    1,01    0,00    0,00    0,00   97,47
18:38:09     all    3,47    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   95,54
18:38:10     all    1,53    0,00    1,02    0,00    0,00    0,51    0,00    0,00    0,00   96,94
18:38:11     all    1,52    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,47
18:38:12     all    1,51    0,00    1,01    0,50    0,00    0,50    0,00    0,00    0,00   96,48
18:38:13     all    1,99    0,00    1,49    0,00    0,00    0,50    0,00    0,00    0,00   96,02
18:38:14     all    2,51    0,00    0,50    0,00    0,00    0,50    0,00    0,00    0,00   96,48
18:38:15     all    1,01    0,00    1,01    0,00    0,00    0,50    0,00    0,00    0,00   97,49
18:38:16     all    1,00    0,00    2,00    0,00    0,00    0,50    0,00    0,00    0,00   96,50
18:38:17     all    1,50    0,00    1,00    0,50    0,00    0,50    0,00    0,00    0,00   96,50
18:38:18     all    1,51    0,00    1,51    0,00    0,00    1,01    0,00    0,00    0,00   95,98
18:38:19     all    2,02    0,00    1,01    0,00    0,00    0,51    0,00    0,00    0,00   96,46
18:38:20     all    1,01    0,00    2,01    0,00    0,00    0,50    0,00    0,00    0,00   96,48
18:38:21     all    1,01    0,00    1,01    0,00    0,00    0,50    0,00    0,00    0,00   97,49
18:38:22     all    1,52    0,00    1,01    0,00    0,00    0,51    0,00    0,00    0,00   96,97
18:38:23     all    1,52    0,00    1,52    0,00    0,00    0,51    0,00    0,00    0,00   96,46
18:38:25     all    1,01    0,00    0,00    0,00    0,00    0,51    0,00    0,00    0,00   98,48
18:38:26     all    1,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,99
18:38:27     all    2,01    0,00    1,51    0,00    0,00    0,50    0,00    0,00    0,00   95,98
18:38:28     all    1,51    0,00    0,50    1,01    0,00    0,00    0,00    0,00    0,00   96,98
18:38:29     all    1,49    0,00    1,49    0,00    0,00    0,99    0,00    0,00    0,00   96,04
18:38:30     all    1,52    0,00    1,01    0,00    0,00    0,51    0,00    0,00    0,00   96,97
18:38:31     all    1,49    0,00    1,49    0,00    0,00    0,50    0,00    0,00    0,00   96,53
18:38:32     all    0,51    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,49
18:38:33     all    2,54    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   96,95
18:38:34     all    1,00    0,00    1,49    0,00    0,00    0,50    0,00    0,00    0,00   97,01
18:38:35     all    2,02    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   97,47
18:38:36     all    0,98    0,00    0,98    0,00    0,00    0,49    0,00    0,00    0,00   97,55
18:38:37     all    2,01    0,00    1,01    0,00    0,00    0,50    0,00    0,00    0,00   96,48
