Linux 5.4.0-47-generic (slave2) 	18/09/2020 	_x86_64_	(2 CPU)

02:05:25     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:05:26     all    9,41    0,00    8,91    0,00    0,00   13,37    0,00    0,00    0,00   68,32
02:05:27     all    6,57    0,00    6,06    2,02    0,00   12,63    0,00    0,00    0,00   72,73
02:05:28     all    3,92    0,00    6,37    2,45    0,00   12,25    0,00    0,00    0,00   75,00
02:05:29     all    2,99    0,00    3,48    0,00    0,00   11,44    0,00    0,00    0,00   82,09
02:05:30     all    3,05    0,00    6,09    1,02    0,00    8,12    0,00    0,00    0,00   81,73
02:05:31     all    3,54    0,00    4,55    0,00    0,00   10,61    0,00    0,00    0,00   81,31
02:05:32     all    3,55    0,00    5,58    0,00    0,00    9,64    0,00    0,00    0,00   81,22
02:05:33     all    6,00    0,00    7,00    4,50    0,00   12,00    0,00    0,00    0,00   70,50
02:05:34     all    3,55    0,00    6,09    2,54    0,00   11,68    0,00    0,00    0,00   76,14
02:05:35     all    4,95    0,00    6,93    0,00    0,00   12,87    0,00    0,00    0,00   75,25
02:05:36     all    2,97    0,00    7,43    0,00    0,00   13,37    0,00    0,00    0,00   76,24
02:05:37     all   10,89    0,00    8,91    0,99    0,00   15,35    0,00    0,00    0,00   63,86
02:05:38     all    5,97    0,00    5,97    1,99    0,00   10,95    0,00    0,00    0,00   75,12
02:05:39     all    5,50    0,00    7,50    0,00    0,00   11,00    0,00    0,00    0,00   76,00
02:05:40     all    6,90    0,00    5,42    1,97    0,00   12,81    0,00    0,00    0,00   72,91
02:05:41     all    4,90    0,00    6,37    0,00    0,00   14,22    0,00    0,00    0,00   74,51
02:05:42     all    5,03    0,00    4,52    0,00    0,00   12,56    0,00    0,00    0,00   77,89
02:05:43     all    5,42    0,00    5,42    1,48    0,00   14,29    0,00    0,00    0,00   73,40
02:05:44     all    4,19    0,00    2,62    0,52    0,00   10,47    0,00    0,00    0,00   82,20
02:05:45     all    5,53    0,00    6,03    3,02    0,00   11,06    0,00    0,00    0,00   74,37
02:05:46     all    4,02    0,00    3,02    0,00    0,00   11,06    0,00    0,00    0,00   81,91
02:05:47     all    4,10    0,00    4,10    0,00    0,00    8,72    0,00    0,00    0,00   83,08
02:05:48     all    6,40    0,00    8,87    0,00    0,00   11,82    0,00    0,00    0,00   72,91
02:05:49     all    4,04    0,00    4,55    0,00    0,00   11,62    0,00    0,00    0,00   79,80
02:05:50     all   12,00    0,00    6,50    1,50    0,00   12,00    0,00    0,00    0,00   68,00
02:05:51     all    9,60    0,00    6,06    0,51    0,00   11,11    0,00    0,00    0,00   72,73
02:05:52     all    3,17    0,00    2,12    4,23    0,00    9,52    0,00    0,00    0,00   80,95
02:05:53     all    5,67    0,00    4,64    1,03    0,00    9,28    0,00    0,00    0,00   79,38
02:05:54     all    2,55    0,00    3,57    0,00    0,00   12,24    0,00    0,00    0,00   81,63
02:05:55     all    4,00    0,00    7,00    1,00    0,00   13,50    0,00    0,00    0,00   74,50
02:05:56     all    4,06    0,00    5,08    0,00    0,00   12,69    0,00    0,00    0,00   78,17
02:05:57     all    5,15    0,00    5,15    1,03    0,00   11,34    0,00    0,00    0,00   77,32
02:05:58     all    4,98    0,00    5,47    4,48    0,00   12,44    0,00    0,00    0,00   72,64
02:05:59     all    3,02    0,00    4,52    0,00    0,00   12,06    0,00    0,00    0,00   80,40
02:06:00     all    4,12    0,00    4,12    1,55    0,00    8,76    0,00    0,00    0,00   81,44
02:06:01     all    5,42    0,00    5,91    0,49    0,00   14,29    0,00    0,00    0,00   73,89
02:06:02     all    4,41    0,00    3,92    1,47    0,00   16,18    0,00    0,00    0,00   74,02
02:06:03     all    5,70    0,00    6,22    0,00    0,00   14,51    0,00    0,00    0,00   73,58
02:06:04     all    5,47    0,00    3,98    0,00    0,00   12,94    0,00    0,00    0,00   77,61
02:06:05     all    5,37    0,00    2,93    2,44    0,00   13,17    0,00    0,00    0,00   76,10
02:06:06     all    2,58    0,00    3,09    0,00    0,00   10,31    0,00    0,00    0,00   84,02
02:06:07     all    4,50    0,00    5,00    0,00    0,00   15,00    0,00    0,00    0,00   75,50
02:06:08     all    4,12    0,00    3,61    0,00    0,00   10,82    0,00    0,00    0,00   81,44
02:06:09     all    3,43    0,00    4,41    0,00    0,00   12,75    0,00    0,00    0,00   79,41
02:06:10     all    2,91    0,00    4,37    0,00    0,00   17,48    0,00    0,00    0,00   75,24
02:06:11     all    4,57    0,00    6,09    2,03    0,00   12,69    0,00    0,00    0,00   74,62
02:06:12     all    5,45    0,00    4,46    0,50    0,00   15,35    0,00    0,00    0,00   74,26
02:06:13     all    3,92    0,00    2,94    0,49    0,00   16,18    0,00    0,00    0,00   76,47
02:06:14     all    2,46    0,00    3,94    0,00    0,00   13,30    0,00    0,00    0,00   80,30
02:06:15     all    4,98    0,00    4,48    1,00    0,00   16,42    0,00    0,00    0,00   73,13
02:06:16     all    3,03    0,00    4,55    0,51    0,00   17,68    0,00    0,00    0,00   74,24
02:06:17     all    3,66    0,00    1,05    0,52    0,00   19,90    0,00    0,00    0,00   74,87
02:06:18     all    4,98    0,00    4,98    1,00    0,00   16,42    0,00    0,00    0,00   72,64
02:06:19     all    3,21    0,00    3,21    0,00    0,00   11,76    0,00    0,00    0,00   81,82
02:06:20     all    2,99    0,00    2,99    1,49    0,00   15,42    0,00    0,00    0,00   77,11
